EXCH,SEGMENT,SECURITY_ID,INSTRUMENT_NAME,EXPIRY_CODE,TRADING_SYMBOL,LOT_UNITS,CUSTOM_SYMBOL,EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SERIES,SYMBOL_NAME
NSE,D,89314,OPTSTK,28 Jul 2026,DMART-Jul2026-5900-PE,150,DMART 28 JUL 5900 PE,07/28/2026 14:00,5900.00000,PE,5,M,OPTSTK,,
NSE,D,124809,OPTSTK,28 Jul 2026,NESTLEIND-Jul2026-1180-CE,500,NESTLEIND 28 JUL 1180 CE,07/28/2026 14:00,1180.00000,CE,5,M,OPTSTK,,
NSE,D,47297,OPTSTK,28 Jul 2026,OFSS-Jul2026-9600-PE,100,OFSS 28 JUL 9600 PE,07/28/2026 14:00,9600.00000,PE,5,M,OPTSTK,,
NSE,D,39811,OPTSTK,25 Aug 2026,LAURUSLABS-Aug2026-880-PE,850,LAURUSLABS 25 AUG 880 PE,08/25/2026 14:00,880.00000,PE,5,M,OPTSTK,,
NSE,D,76513,OPTSTK,28 Jul 2026,BHARTIARTL-Jul2026-1660-CE,475,BHARTIARTL 28 JUL 1660 CE,07/28/2026 14:00,1660.00000,CE,5,M,OPTSTK,,
NSE,D,61435,OPTIDX,28 Jul 2026,BANKNIFTY-Jul2026-40700-PE,30,BANKNIFTY 28 JUL 40700 PE,07/28/2026 14:00,40700.00000,PE,5,M,OPTIDX,,
NSE,D,95011,OPTSTK,28 Jul 2026,GODREJCP-Jul2026-790-CE,500,GODREJCP 28 JUL 790 CE,07/28/2026 14:00,790.00000,CE,5,M,OPTSTK,,
NSE,D,118506,OPTSTK,28 Jul 2026,MARICO-Jul2026-560-PE,1200,MARICO 28 JUL 560 PE,07/28/2026 14:00,560.00000,PE,5,M,OPTSTK,,
NSE,D,81532,OPTSTK,28 Jul 2026,CANBK-Jul2026-135.8-PE,6750,CANBK 28 JUL 135.8 PE,07/28/2026 14:00,135.80000,PE,1,M,OPTSTK,,
NSE,D,153345,OPTSTK,25 Aug 2026,WAAREEENER-Aug2026-2500-PE,175,WAAREEENER 25 AUG 2500 PE,08/25/2026 14:00,2500.00000,PE,5,M,OPTSTK,,
NSE,D,35270,OPTSTK,28 Jul 2026,BAJFINANCE-Jul2026-1440-CE,750,BAJFINANCE 28 JUL 1440 CE,07/28/2026 14:00,1440.00000,CE,5,M,OPTSTK,,
NSE,D,103755,OPTSTK,29 Sep 2026,FORTIS-Sep2026-1240-CE,775,FORTIS 29 SEP 1240 CE,09/29/2026 14:00,1240.00000,CE,5,M,OPTSTK,,
NSE,D,37947,OPTSTK,28 Jul 2026,BANKINDIA-Jul2026-157.5-CE,5200,BANKINDIA 28 JUL 157.5 CE,07/28/2026 14:00,157.50000,CE,1,M,OPTSTK,,
NSE,D,96575,OPTSTK,29 Sep 2026,CIPLA-Sep2026-1340-CE,425,CIPLA 29 SEP 1340 CE,09/29/2026 14:00,1340.00000,CE,5,M,OPTSTK,,
NSE,D,65528,OPTIDX,04 Aug 2026,NIFTY-Aug2026-23250-PE,65,NIFTY 4 AUG 23250 PE,08/04/2026 14:00,23250.00000,PE,5,W,OPTIDX,,
NSE,D,45354,OPTIDX,25 Aug 2026,NIFTYNXT50-Aug2026-39000-PE,25,NIFTYNXT50 25 AUG 39000 PE,08/25/2026 14:00,39000.00000,PE,5,M,OPTIDX,,
NSE,D,154382,OPTSTK,29 Sep 2026,TITAN-Sep2026-3600-PE,175,TITAN 29 SEP 3600 PE,09/29/2026 14:00,3600.00000,PE,5,M,OPTSTK,,
NSE,D,71794,OPTSTK,28 Jul 2026,ASIANPAINT-Jul2026-3060-CE,250,ASIANPAINT 28 JUL 3060 CE,07/28/2026 14:00,3060.00000,CE,5,M,OPTSTK,,
NSE,D,109256,OPTSTK,25 Aug 2026,HDFCLIFE-Aug2026-545-CE,1100,HDFCLIFE 25 AUG 545 CE,08/25/2026 14:00,545.00000,CE,5,M,OPTSTK,,
NSE,D,132136,OPTSTK,28 Jul 2026,PHOENIXLTD-Jul2026-2320-PE,350,PHOENIXLTD 28 JUL 2320 PE,07/28/2026 14:00,2320.00000,PE,5,M,OPTSTK,,
NSE,D,129712,OPTSTK,25 Aug 2026,NAM-INDIA-Aug2026-1300-CE,625,NAM-INDIA 25 AUG 1300 CE,08/25/2026 14:00,1300.00000,CE,5,M,OPTSTK,,
NSE,D,101541,OPTSTK,25 Aug 2026,DRREDDY-Aug2026-820-PE,625,DRREDDY 25 AUG 820 PE,08/25/2026 14:00,820.00000,PE,5,M,OPTSTK,,
